title,price,rating,reviews,discount,brand,product_url
"ZEBRONICS MW63 Wireless Power Bank, 10000 mAh, Rapid Charge, Magsafe, Outputs - 20W Wired | 15W Wireless, Type C PD, Built in Protections, LED Indicator, Compatible with iPhone, Made in India",1199.0,3.4,310,70.0,ZEBRONICS,https://www.amazon.in/ZEBRONICS-MW63-Wireless-Magsafe-Outputs/dp/B0F7L7R2FJ/ref=sr_1_33
DR VAKU® 20W Charger Adapter L Cable Combo Compatible with 14/14Plus/14Pro/14 Pro max/iPhone 13/13 Pro/13 Pro max 12/12 Pro/11/X/Xr- White,629.0,4.1,4707,61.0,DR VAKU,https://www.amazon.in/DR-VAKU-Mfi-Certified-Cable-Compatible/dp/B0D4ZF67NB/ref=sr_1_62
"Samsung Galaxy A55 5G (Awesome Navy, 12GB RAM, 256GB Storage) | AI Mobile | 50MP Main Camera (OIS) | Super HDR Video| Nightography | IP67 | Gorilla Glass Victus+ | sAMOLED | Gaming Smartphone",29999.0,4.3,5648,39.0,Samsung,https://www.amazon.in/Samsung-Awesome-Storage-Nightography-Corning/dp/B0CWPD9PTK/ref=sr_1_13
Apple USB-C to Lightning Cable (1m) ​​​​​​​,1599.0,4.0,5277,16.0,Apple,https://www.amazon.in/Apple-USB-C-Lightning-Cable-1m/dp/B0CX23929Q/ref=sr_1_52
"amazon basics Luxury Paper Thin Case Cover for iPhone 15 | Matte Finish | Compatible with magsafe | (Blue, iPhone 15)",249.0,3.8,969,69.0,amazon basics,https://www.amazon.in/amazon-basics-iPhone-15-Compatible/dp/B0DTPRQH42/ref=sr_1_36
Spigen AlignMaster S Tempered Glass Screen Protector Guard for iPhone 17 [2 Pack],799.0,4.5,175,60.0,Spigen,https://www.amazon.in/Spigen-AlignMaster-Tempered-Screen-Protector/dp/B0G4LLNSCT/ref=sr_1_64
"Samsung Galaxy M17 5G Mobile (Sapphire Black, 6GB RAM, 128GB Storage) | 50MP OIS Triple Camera | Gorilla Glass Victus | IP54 | 6 Gen OS Upgrades | AI | Gemini Live | Lag-Free Gaming | Without Charger",15499.0,4.2,1225,14.0,Samsung,https://www.amazon.in/Samsung-Sapphire-Storage-Upgrades-Lag-Free/dp/B0FN7WCV5Y/ref=sr_1_27
"Protect+ with AppleCare Services for iPhone 14 Pro (1 Year) (Email Delivery, No Physical Kit)",16999.0,3.6,11,,Brand: SERVIFY,https://www.amazon.in/Protect-AppleCare-Services-iPhone-Year/dp/B0BF4TLLSD/ref=sr_1_76
"iPhone 17 Pro 1 TB: 15.93 cm (6.3″) Display with Promotion up to 120Hz, A19 Pro Chip, Breakthrough Battery Life, Pro Fusion Camera System with Center Stage Front Camera; Deep Blue",174900.0,4.4,292,,Apple,https://www.amazon.in/iPhone-17-Pro-Promotion-Breakthrough/dp/B0FQFBHQMJ/ref=sr_1_8
"Protective Charger Case for iPhone 18W 20W iPhone 17,iPhone16, iPhone15,iPhone 14,iPhone 13,iPhone 12,iPhone 11 Pro Max Charger Protective Cover-Star Black Astronaut",149.0,4.7,77,85.0,Brand: VNJ ACCESSORIES,https://www.amazon.in/VNJ-Accessories-Protective-Cover-Star-Astronaut/dp/B0FFMFCCTR/ref=sr_1_42
"Ambrane USB To Lightning 3A Fast Charging Braided Lightning Cable Compatible For iPhone 14,13, 12,11, X, 8, 7, 6, 5, Ipad, Macbook, Imac, Airpods, 480Mbps Data Sync, 1.5Meter Long (RCL -15, Black)",149.0,4.0,87170,63.0,Ambrane,https://www.amazon.in/Ambrane-Lightning-Charging-Compatible-Black/dp/B0CZRQCF29/ref=sr_1_43
"Samsung Galaxy S24 FE 5G AI Smartphone (Graphite, 8GB RAM, 128GB Storage)",38829.0,4.4,1568,35.0,Samsung,https://www.amazon.in/Samsung-Galaxy-Smartphone-Graphite-Storage/dp/B0DHL7YT5S/ref=sr_1_18
iPhone Charger Adapter 20W Original with Lightning Cable Combo (MFi-Certified) Compatible with iPhone 14/14Plus/14Pro/14 Pro max13/13 Mini/13 Pro/13 Pro max/12/12 Mini/12 Pro/12 Pro Max/11/X/8/7/6/5,521.0,4.2,11719,83.0,Brand: KOZOPO,https://www.amazon.in/Charger-Lightning-Certified-Charging-Compatible/dp/B0FK34PW6N/ref=sr_1_38
"TheGiftKart Hybrid Matte Frosted Translucent Back Cover Case for iPhone 17 Compatible with MagSafe | Shockproof Design | Camera Protection Module | Hard Back Cover Case (PC & TPU, Frost Blue)",298.0,4.4,1528,70.0,TheGiftKart,https://www.amazon.in/TheGiftKart-Translucent-iPhone-17-Blue/dp/B0FY3M7MQL/ref=sr_1_68
OnePlus Nord 5 | Snapdragon 8s Gen 3 | Stable 144FPS Gaming | Dual 50MP Flagship Camera | Powered by OnePlus AI | 256GB 8GB | Phantom Grey,33999.0,4.4,4512,3.0,OnePlus,https://www.amazon.in/OnePlus-Snapdragon-Flagship-Powered-Phantom/dp/B0FCML66W9/ref=sr_1_18
TORRAS Ostand Q3 Air iPhone 17 Pro Max Case with 360° Stand & AirMAX Tech - Premium Imported Shockproof Cover with Camera Control & Halbach Magnet - Aurora Purple,8099.0,4.4,1034,42.0,TORRAS,https://www.amazon.in/TORRAS-Ostand-iPhone-Stand-AirMAX/dp/B0GCDW1RHG/ref=sr_1_78
"Samsung Galaxy S25 5G Smartphone with Galaxy AI (Silver Shadow, 12GB RAM, 256GB Storage), Snapdragon 8 Elite, 50 MP Camera with ProVisual Engine and 4000mAh Battery",74999.0,4.5,719,7.0,Samsung,https://www.amazon.in/Samsung-Smartphone-Storage-Snapdragon-ProVisual/dp/B0DSKNLFBG/ref=sr_1_17
"OnePlus 13R| Smarter with OnePlus AI (12GB RAM, 256GB Storage Nebula Noir)",39999.0,4.4,3978,11.0,OnePlus,https://www.amazon.in/OnePlus-13R-Smarter-Lifetime-Warranty/dp/B0DPS62DYH/ref=sr_1_22
APFEN® 80W Type C to C Fast Charging Cable [MFI Certified] Nylon Braided Cable Compatible With iPhone 16/15 Pro/ProMax Series/Macbook/iPad and Other Type C devices.,289.0,4.0,9088,86.0,APFEN,https://www.amazon.in/Charging-Certified-Braided-Compatible-devices/dp/B0FB4BCYD7/ref=sr_1_69
"Hollyland Lark M2 Wireless Microphone for iPhone/Camera/Android/PC, 48kHz/24-bit High Fidelity Audio, 300m Range, Noise Cancelling, 40h Use, YouTube, Vlog, Streaming (2TX + 3RX + Charging Case)",12999.0,4.1,8836,50.0,HollyView,https://www.amazon.in/Hollyland-M2-Microphone-Cancelling-Streaming/dp/B0FMWXRQRR/ref=sr_1_40
"amazon basics Luxury Paper Thin Case Cover for iPhone 17 | Matte Finish | Compatible with magsafe | (Light Blue, iPhone 17)",249.0,3.8,282,67.0,amazon basics,https://www.amazon.in/amazon-basics-Luxury-Compatible-magsafe/dp/B0FPX3BBGV/ref=sr_1_65
"Pova Slim 5G (Slim White, 8GB+128GB)",19999.0,4.3,172,20.0,Tecno,https://www.amazon.in/Pova-Slim-White-8GB-128GB/dp/B0FLY6F29H/ref=sr_1_23
APFEN® Type C to Lightning [MFi Certified] Fast Charging Cable Compatible with iPhone 14/14 Pro/ 14 Pro Max/ 13/13 Pro/ 13 ProMax/ 12/11/XR/XS/X/8 all Series,273.0,4.3,10258,86.0,APFEN,https://www.amazon.in/Lightning-Certified-iPhone-Charging-Compatible/dp/B0DFCGB2D6/ref=sr_1_32
"Ambrane Magsafe Wireless 10000Mah Fast Charging Power Bank, Strong Magnet, Micro USB Input, 22.5W Output For Iphone 12 Above, Android & Other Qi Enabled Devices + Magnetic Ring (Aerosync Snap, Purple)",1339.0,3.9,6483,55.0,Ambrane,https://www.amazon.in/Ambrane-Wireless-10000mAh-Charging-Magnetic/dp/B0D9S9TV5Q/ref=sr_1_34
"HAMMER 27W Type-C to Lightning 8 Pin Nylon Braided Cable, 27W Fast Charging, 480Mbps High Speed Data Transfer & Durable Tangle Free Design, Compatible with iPhone, iPad, iMac, AirPods, 1.2M (Blue)",248.0,4.1,875,75.0,HAMMER,https://www.amazon.in/HAMMER-Lightning-Charging-Transfer-Compatible/dp/B0F2FYKDS4/ref=sr_1_66
Amazon Brand - Solimo Tempered Glass Screen Protector For iPhone 12 & 12 Pro With Edge-To-Edge Protector | Easy Installation Kit (Black),179.0,3.8,172,49.0,Amazon Brand - Solimo,https://www.amazon.in/Amazon-Brand-Edge-Edge-Installation/dp/B0D87CCCVP/ref=sr_1_54
"Apple 2024 Mac mini Desktop Computer with M4 chip with 10‑core CPU and 10‑core GPU: Built for Apple Intelligence, 16GB Unified Memory, 512GB SSD Storage, Gigabit Ethernet. Works with iPhone/iPad",77999.0,4.7,69,2.0,Apple,https://www.amazon.in/Apple-2024-Desktop-Computer-10%E2%80%91core/dp/B0DLBTLQZP/ref=sr_1_41
"Ambrane 20W Mobile Charger Adapter with Lightning Cable || Fast Charging for Android, iPhone 14/13,13/12/11/X & Pro, Max Series & Other Type C Enabled Devices, PD Technology, BIS Certified (Raap M20)",349.0,3.8,4938,77.0,Ambrane,https://www.amazon.in/Ambrane-Lightning-Technology-Certified-M20/dp/B0FB93NPT9/ref=sr_1_59
Apple iPhone 16e Silicone Case – White,3900.0,4.5,786,,Apple,https://www.amazon.in/Apple-iPhone-16e-Silicone-Case/dp/B0DXQFJSY1/ref=sr_1_61
