title,price,rating,reviews,discount,brand,product_url
"Samsung Galaxy F06 5G, Bahama Blue (4GB, 128GB)",9999.0,4.0,591,29.0,Samsung,https://www.amazon.in/Samsung-Galaxy-Bahama-Blue-128GB/dp/B0DYP4NYYJ/ref=sr_1_16
"Poco M7 5G Mint Green 6GB RAM|128GB ROM|SD4 Gen2 Processor|6.88"" HD+ Display|50MP Camera|8MP Front Camera|5160 mAh Battery",10780.0,4.2,3089,17.0,Brand: POCO,https://www.amazon.in/POCO-Processor-Display-Camera-Battery/dp/B0F5Q2F8G2/ref=sr_1_7
"Oppo A6X 4G (Olive Green, 4GB RAM, 64GB Storage) with No Cost EMI/Additional Exchange Offers",10999.0,,0,15.0,OPPO,https://www.amazon.in/Olive-Storage-Additional-Exchange-Offers/dp/B0GDGXVJYG/ref=sr_1_39
"ZENO 5G AI Smartphone | 8GB RAM 128GB ROM | IP54 Rated for Dust & Water Resistance | D6300 5G Processor | 6.7"" HD+ 120Hz Punch-Hole Display | 50MP Camera | 5-Year Fluency | Shadow Black",9999.0,3.5,85,23.0,Itel,https://www.amazon.in/Smartphone-Resistance-Processor-Punch-Hole-Display/dp/B0F2268KPJ/ref=sr_1_26
"Motorola G57 Power (Regatta, 8GB RAM, 128GB Storage)",14999.0,4.0,118,17.0,Motorola,https://www.amazon.in/Motorola-Power-Regatta-128GB-Storage/dp/B0GCBB7KMQ/ref=sr_1_46
"Oppo A6X 4G (Ice Blue, 4GB RAM, 64GB Storage) with No Cost EMI/Additional Exchange Offers",10999.0,,0,15.0,OPPO,https://www.amazon.in/Oppo-Storage-Additional-Exchange-Offers/dp/B0GDDZ2SJF/ref=sr_1_50
Redmi A5 Just Black (3GB RAM 64GB Storage) | Royale Design | Segment's Largest 17.47cm(6.88) and Smoothest 120Hz Display | 5200mAh Large Battery | Expandable Storage up to 2TB,7999.0,4.0,691,11.0,Redmi,https://www.amazon.in/Redmi-Storage-Segments-Smoothest-Expandable/dp/B0F3P2ZL2X/ref=sr_1_17
"Samsung Galaxy F05 (Twilight Blue, 64 GB) (4 GB RAM)",9490.0,4.1,658,5.0,Samsung,https://www.amazon.in/Samsung-Galaxy-Twilight-Blue-64/dp/B0DJC2L66N/ref=sr_1_20
"acer Super ZX 5G (Carbon Black, 8GB RAM, 128GB) | Segment-First FHD+ 6.8” 120Hz Display | Sony 64MP AI Triple Camera | 5000 mAh Long Lasting Battery",10699.0,3.5,1060,51.0,acer,https://www.amazon.in/Carbon-Segment-First-Display-Lasting-Battery/dp/B0F4DLLFDQ/ref=sr_1_22
"Motorola G06 Power (Pantone Laurel Oak, 4GB RAM, 64GB Storage)",8340.0,3.9,57,17.0,Motorola,https://www.amazon.in/Motorola-Power-Pantone-Laurel-Storage/dp/B0FVW9B8GQ/ref=sr_1_20
