title,price,rating,reviews,discount,brand,product_url
"Samsung Galaxy M35 5G (DayBreak Blue,8GB RAM,128GB Storage)| Corning Gorilla Glass Victus+| AnTuTu Score 595K+| Vapour Cooling Chamber| 6000mAh Battery| 120Hz Super AMOLED Display| AI| Without Charger",17499.0,4.2,16854,,Samsung,https://www.amazon.in/Samsung-Daybreak-Storage-Corning-Gorilla/dp/B0D7Z8FJZ9/ref=sr_1_38
realme 14 Pro 5G Smartphone 6.77 Inch FHD+ Diaplay 120Hz Dimensity 7300 4nm Chip 8GB RAM 128GB ROM Android 15 45W Fast Charge Dual SIM Support NFC Fingerprint GPS WiFi (White),23499.0,,0,16.0,realme,https://www.amazon.in/realme-Smartphone-Diaplay-Dimensity-Fingerprint/dp/B0FK2JT1P9/ref=sr_1_14
"realme NARZO 90x 5G (Maroon Red,6GB+128GB) | 7000mAh + 60W Biggest Battery & Fastest Charging in The Segment* | 144Hz Bright Display | Sony 50MP AI Rear Camera | AI Assist | 400% Ultra Boom Speaker",15499.0,4.3,454,9.0,realme,https://www.amazon.in/realme-7000mAh-Biggest-Battery-Charging/dp/B0GK8334CK/ref=sr_1_13
"realme NARZO 80 Pro 5G (Speed Silver,8GB+128GB) | Segment's 1st MediaTek Dimensity 7400 Chipset | 6000mAh Titan Battery + 80W Ultra Charge | 4500nits HyperGlow Esports Display | IP69 Waterproof",17999.0,4.3,2035,25.0,realme,https://www.amazon.in/realme-Segments-Dimensity-HyperGlow-Waterproof/dp/B0F1DBWL8D/ref=sr_1_20
"Redmi Note 9 Pro (Glacier White, 4GB RAM, 64GB Storage) - Latest 8nm Snapdragon 720G &Alexa Hands-Free Capable",13999.0,4.2,137328,18.0,Redmi,https://www.amazon.in/Redmi-Note-Pro-Glacier-Storage/dp/B0784D862L/ref=sr_1_26
Slide and Learn Multiplication Book for Kids | Interactive Pull Tab Activity | Colorful Times Tables 1 to 10 | Math Practice Book | Fun Learning for Early Education,849.0,4.8,5,58.0,,https://aax-eu-zaz.amazon.in/x/c/JBbeQo88kWXonhOChAq_yFYAAAGcakPGZAoAAAH2AQBvbm9fdHhuX2JpZDMgICBvbm9fdHhuX2ltcDIgICCDlip-/clv1c_ek-IBPHXbcbWXixXZLvfbmIzcdQ5IJeEmImcrYkB19r5pz_eL_H6xcuo6hgpKWXWY0w-uAW03zVFwPkCpc9qKx4rYHmG79fPzRq2RA1TYdG5mlfzy3nRXIs41epW0jLxUxI2He1PzR5ymhH0eZzF62f-Fsw01lXppmRwmqdrD4QVTCMFLmFIClhBruqlEFKpyKyOdY8AMDu8JVRddS6D83wdWHsVNsaevITPRMlbxjgysz4M76JUQzHagiw1Eh-fsLNsp_W5IbIVkGn8lOT2gBCPSL6tKktFGVqfuRwLMt6VBu_78zeRQ6fgtHifXSsKZXArP7vkNabbrYF_VHoakDX1xcelxE2DDhxddmaALo4jhTI3XA5g-v8ZX24xsJedt2gVKBcfFRqebAaKfEgsWKPhGihIM-u337-DVjZ8aYLW7IPCdnquYhJfL9-cjft1GkCwb2mESTrnwLK4kRi4pkx1ge9Mlf9YpYyZ18L1oJ0FBav9Uhid__2PhDcgWACdNgLzCmzCMUSIv43Mu1kGyWUEVGpv1G2l7-fBcytxnyRUsSGVVs0x-sYTSuD6kwkYto3PCFo5sDj72g-_12qj1WjODpJzbKbc2I23U2y5VLubV6AuFSCavjqMYOEDSPfYpgssuZkY-S-khSQGj62-Kh5_2pUw6N8QosFTqR-GA95_XTNrbvlu3P1K1jkr2wS6_5GesFZUvGy-DS7gUQ0-a0YANk6v6Rzh7-95QJZK6K6wU16aZhdpTls54XcNgZZw3EQHynj4DLTQABrUAmn1R-3qmfoW9elKit1pVcbWh8GsXVyutYm6rxgfQk7W80a0wZXYIFJp1Iy6UliQEogf30_mrmHylYc-APAhAki0NqikFYyc7JifIPic8UuhV7EGAiIAVKUZQoUF50B32BcwUOLRVgOVpkPmTPT0h1ZRiVTWxBxk2RLzM5BRyWGyiY8ZkHV6NYWID0fOUS2FsdGe0z2CAGtEg18y-Hr8fNCNHOPs5xcSzcIjVX5aoHRUxTDRQI_qYpkzHmx6pDG6lKcv3ua7Xv-Dr9-x3KvA9w2PhG3oOTiJYlTuFR9mUalh9cHhGOh9Ji1nZc9bZcKYSsH7Vq8DfjUXUWHfacNmZF9whAtIgDrZb0ctHgDtxvMIORN2_KZeCFef2RRWIYsg8BmpBewgKjgqvjkEcHyd5ZwiT7ehI0z8M4CX-TlzLW4ACY2FWHb_Hj0wlCzQB80DiSCd_x9Kij9HlIi2DaamxbUm8o9GK4SbMEzDfpdyuvKbF80rn5V4Y4yE98FewYH9Yyv6wOUFUcQuAqU_fW5pnLStUXVJKtVNeBBRXdySzg3bKPSZHGjFD7bStD6Vg4pMk9LQ_JPqTNUqTU43k9WiGXH4SKqGnomCFUA4nWemAK0jvLW7SzdVVK4p5JnDlZQOE0q8pialjGyNWMHOVgPmC3bBRoKD75j-lhhCQRqE_oCmDsluwdAJhuY6X5VAYE-vs31jFb3D-iXuY6uxLBBuSkM0ohrJe616ddoxpeeZ66_8Jriz_D4vzNMEcjPsWTTSo_1T54Z7Dts5SJmDxGhBzXOK4iVy0BfErRcmrTAFOX_TfJHD6s5ntq9TdbGz5mYD8C10s_n1eDmbB2-JmD9fodLiCFtInMcP9qwep0PHMfwxjKuJaSbF4hoHmDv_zUO4ns57hbE/https://www.amazon.in/Multiplication-Interactive-Activity-Colorful-Education/dp/B0G26V17NK/ref=sxbs_sbv_search_btf
"REDMI Note 15 5G (Mist Purple, 8GB RAM 256GB Storage) | 108MP OIS Camera | Snapdragon 6 Gen 3 | 17.2cm Tough Curved AMOLED Screen | Segment’s Slimmest Phone | 5520mAh Si/C Battery | 45W Fast Charging",24999.0,4.2,298,14.0,Redmi,https://www.amazon.in/Storage-Snapdragon-Segments-Slimmest-Charging/dp/B0G5G2KMQN/ref=sr_1_22
"iQOO Z9 5G (Graphene Blue, 8GB RAM, 256GB Storage) | Dimensity 7200 5G Processor | Sony IMX882 OIS Camera | 120Hz AMOLED with 1800 nits Local Peak Brightness | 44W Charger in The Box",19499.0,4.3,6387,,iQOO,https://www.amazon.in/iQOO-Graphene-Dimensity-Processor-Brightness/dp/B07WHQLX7G/ref=sr_1_33
"realme 15X 5G Smartphone 8+256GB Marine Blue, 6.8-inch Screen, 144Hz Display,7000mAh Battery, 60W Fast Charging, 50+50MP AI Camera,Dimensity 6300 6nm Octa-core chipset Processor, IP69",21999.0,4.2,188,,realme,https://www.amazon.in/realme-15X-Smartphone-Dimensity-Octa-core/dp/B0FR9RVFL1/ref=sr_1_17
"Redmi A4 5G (Starry Black, 6GB RAM, 128GB Storage) | Segment Largest 6.88in 120Hz | 50MP Dual Camera | 18W Fast Charging | Charger in The Box",10999.0,4.0,12168,15.0,Redmi,https://www.amazon.in/Redmi-A4-5G-Storage-Charging/dp/B0FBRM15FH/ref=sr_1_9
